StartNodeType,StartNode,RelationshipType,EndNode,EndNodeType
['Identity'],0,CONTAINS,前端,['Keyword']
['Identity'],0,CONTAINS,后端,['Keyword']
['Identity'],0,CONTAINS,项目经验,['Keyword']
['Identity'],0,CONTAINS,小程序,['Keyword']
['Identity'],0,CONTAINS,HTML,['Keyword']
['Identity'],0,CONTAINS,JavaScript,['Keyword']
['Identity'],0,CONTAINS,CSS,['Keyword']
['Identity'],0,CONTAINS,flex/grid,['Keyword']
['Identity'],0,CONTAINS,Less,['Keyword']
['Identity'],0,CONTAINS,Sass,['Keyword']
['Identity'],0,CONTAINS,Stylus,['Keyword']
['Identity'],0,CONTAINS,uni-app,['Keyword']
['Identity'],0,CONTAINS,Vue,['Keyword']
['Identity'],0,CONTAINS,element,['Keyword']
['Identity'],0,CONTAINS,前后端分离,['Keyword']
['Identity'],0,CONTAINS,UI,['Keyword']
['Identity'],0,CONTAINS,app,['Keyword']
['Identity'],1,CONTAINS,软件,['Keyword']
['Identity'],1,CONTAINS,实习,['Keyword']
['Identity'],1,CONTAINS,办公软件,['Keyword']
['Identity'],1,CONTAINS,报告,['Keyword']
['Identity'],1,CONTAINS,数据库,['Keyword']
['Identity'],1,CONTAINS,沟通,['Keyword']
['Identity'],1,CONTAINS,定期巡检，运维,['Keyword']
['Identity'],1,CONTAINS,项目技术方案,['Keyword']
['Identity'],1,CONTAINS,现场采集,['Keyword']
['Identity'],1,CONTAINS,维护,['Keyword']
['Identity'],1,CONTAINS,ps,['Keyword']
['Identity'],2,CONTAINS,后端,['Keyword']
['Identity'],2,CONTAINS,实习,['Keyword']
['Identity'],2,CONTAINS,小程序,['Keyword']
['Identity'],2,CONTAINS,element,['Keyword']
['Identity'],2,CONTAINS,前后端分离,['Keyword']
['Identity'],2,CONTAINS,UI,['Keyword']
['Identity'],2,CONTAINS,JAVA,['Keyword']
['Identity'],3,CONTAINS,前端,['Keyword']
['Identity'],3,CONTAINS,后端,['Keyword']
['Identity'],3,CONTAINS,实习,['Keyword']
['Identity'],3,CONTAINS,应届毕业生,['Keyword']
['Identity'],3,CONTAINS,全栈,['Keyword']
['Identity'],3,CONTAINS,数据库,['Keyword']
['Identity'],3,CONTAINS,ps,['Keyword']
['Identity'],3,CONTAINS,Python,['Keyword']
['Identity'],4,CONTAINS,维护,['Keyword']
['Identity'],5,CONTAINS,计算机,['Keyword']
['Identity'],5,CONTAINS,软件,['Keyword']
['Identity'],5,CONTAINS,实习,['Keyword']
['Identity'],5,CONTAINS,应届毕业生,['Keyword']
['Identity'],5,CONTAINS,沟通,['Keyword']
['Identity'],6,CONTAINS,前端,['Keyword']
['Identity'],6,CONTAINS,软件,['Keyword']
['Identity'],6,CONTAINS,项目经验,['Keyword']
['Identity'],6,CONTAINS,应届毕业生,['Keyword']
['Identity'],6,CONTAINS,工作经验,['Keyword']
['Identity'],6,CONTAINS,设计,['Keyword']
['Identity'],6,CONTAINS,沟通,['Keyword']
['Identity'],6,CONTAINS,维护,['Keyword']
['Identity'],6,CONTAINS,web,['Keyword']
['Identity'],6,CONTAINS,UI,['Keyword']
['Identity'],6,CONTAINS,jquery,['Keyword']
['Identity'],6,CONTAINS,ps,['Keyword']
['Identity'],7,CONTAINS,项目经验,['Keyword']
['Identity'],7,CONTAINS,小程序,['Keyword']
['Identity'],7,CONTAINS,沟通,['Keyword']
['Identity'],7,CONTAINS,HTML,['Keyword']
['Identity'],7,CONTAINS,JavaScript,['Keyword']
['Identity'],7,CONTAINS,CSS,['Keyword']
['Identity'],7,CONTAINS,Vue,['Keyword']
['Identity'],7,CONTAINS,AJAX,['Keyword']
['Identity'],7,CONTAINS,DOM,['Keyword']
['Identity'],7,CONTAINS,JSON,['Keyword']
['Identity'],8,CONTAINS,前端,['Keyword']
['Identity'],8,CONTAINS,工作经验,['Keyword']
['Identity'],8,CONTAINS,HTML,['Keyword']
['Identity'],8,CONTAINS,CSS,['Keyword']
['Identity'],8,CONTAINS,web,['Keyword']
['Identity'],9,CONTAINS,游戏,['Keyword']
